Heating;Cooling
22.24;0
25.303;0
29.097;0
31.751;0
33.369;0
35.423;0
36.368;0
37.473;0
39.418;0
175.677;0
75.301;0
42.622;0
45.384;0
41.086;0
31.163;0.798
29.203;0
25.227;1.543
26.893;1.945
29.207;0.134
30.563;0
63.697;0
2.949;0
10.177;0
20.464;0
25.722;0
29.319;0
31.618;0
34.447;0
36.645;0
38.903;0
41.516;0
42.748;0
43.275;0
45.112;0
43.335;0
25.478;0
14.818;0
12.229;0
9.629;0
8.275;0
7.539;0
8.569;0
12.55;0
19.739;0
27.858;0
33.774;0
37.81;0
39.692;0
41.371;0
43.049;0
45.224;0
46.078;0
47.019;0
48.497;0
50.573;0
51.812;0
52.686;0
53.659;0
49.606;0
32.021;0
17.454;0
12.243;0
8.225;0
6.492;0
5.56;0
7.449;0
15.074;0
26.335;0
33.592;0
36.232;0
36.917;0
37.252;0
39.3;0
41.82;0
42.501;0
42.7;0
42.721;0
42.645;0
42.734;0
42.795;0
43.048;0
177.794;0
74.498;0
41.946;0
47.84;0
47.664;0
39.238;0
46.743;0
37.717;0
37.996;0
42.994;0
53.989;0
82.717;0
2.714;0
9.088;0
20.135;0
24.986;0
27.389;0
28.32;0
28.122;0
28.341;0
28.984;0
29.543;0
29.696;0
29.387;0
165.723;0
59.434;0
29.966;0
25.163;0
20.154;0
15.238;0.779
15.644;0.132
14.722;2.247
16.46;2.502
18.029;0.094
21.31;0
52.573;0
2.134;0
2.728;0
7.889;0
11.201;0
13.116;0
14.537;0
15.73;0
16.795;0
17.576;0
18.276;0
22.369;0
28.124;0
164.034;0
59.225;0
31.008;0
35.389;0
35.968;0
29.601;0
28.122;0
21.889;0
25.469;0
31.195;0
38.598;0
66.313;0
2.39;0
4.851;0
11.44;0
14.72;0
16.408;0
18.138;0
19.213;0
20.025;0
20.669;0
21.129;0
21.707;0
22.341;0
158.024;0
51.821;0
24.473;0
26.713;0
24.477;0
18.269;0
20.296;0
17.108;0
18.685;0.239
21.064;0
25.96;0
50.518;0
1.829;0
1.734;0
4.054;0
6.3;0
7.78;0
8.776;0
9.706;0
10.283;0
10.522;0
10.843;0
11.155;0
11.27;0
141.666;0
37.893;0
15.419;0
16.609;0
14.735;0
11.293;0.633
13.238;0
10.773;0.765
11.325;1.681
12.419;0.642
16.098;0
35.527;0
1.5;0
1.424;0
1.57;0
3.001;0
4.415;0
4.962;0
5.61;0
6.864;0
7.976;0
8.703;0
9.409;0
10.534;0
11.595;0
10.92;0
6.714;0
2.987;0
1.948;0
1.765;0
1.746;0
1.806;0
1.949;0
2.254;0
4.183;0
8.356;0
11.455;0
13.553;0
15.357;0
16.01;0
15.719;0
15.726;0
16.52;0
17.008;0
17.295;0
17.785;0
18.583;0
19.208;0
19.213;0
17.699;0
14.943;0
12.169;0
9.981;0
8.494;0
7.302;0
5.043;0
6.183;0
9.747;0
13.356;0
16.855;0
19.376;0
18.937;0
21.063;0
23.939;0
25.686;0
28.067;0
27.671;0
28.063;0
29.158;0
29.714;0
30.919;0
33.395;0
171.197;0
65.725;0
31.26;0
32.695;0
29.58;0
20.671;0
20.606;0
17.13;0.283
19.912;0.921
21.933;0
31.648;0
63.941;0
1.933;0
4.545;0
13.45;0
17.892;0
19.272;0
18.843;0
19.703;0
21.234;0
22.545;0
24.275;0
25.645;0
26.22;0
161.841;0
56.502;0
30.118;0
33.06;0
30.66;0
23.473;0
22.74;0
19.495;0
20.417;0.247
21.252;0
28.503;0
58.867;0
1.907;0
3.278;0
9.158;0
12.863;0
15.483;0
18.043;0
19.204;0
20.761;0
22.451;0
23.606;0
25.002;0
25.879;0
161.684;0
56.028;0
29.443;0
34.922;0
32.91;0
25.731;0
28.224;0
23.95;0
22.33;0
21.144;0
23.969;0
55.618;0
1.897;0
3.022;0
9.37;0
13.934;0
17.31;0
19.781;0
21.53;0
23.559;0
24.926;0
26.592;0
28.473;0
29.515;0
164.688;0
56.849;0
24.039;0
25.014;0
21.645;0
15.772;2.215
13.269;1.131
14.56;1.788
16.779;1.568
18.113;0.086
21.434;0
47.285;0
1.78;0
1.784;0
5.758;0
8.258;0
9.899;0
11.229;0
12.112;0
12.79;0
13.415;0
14.025;0
14.554;0
15.095;0
147.305;0
42.835;0
18.139;0
20.192;0
17.28;0
13.775;0.297
15.327;0
12.219;0.784
12.1;2.298
11.922;1.474
14.082;0
35.253;0
1.544;0
1.434;0
