Heating;Cooling
21.47815;0
23.63245;0
25.4422;0
20.02775;0
20.53945;0
19.3533;0
24.59245;0
28.60575;0
30.2428;0
44.5415;0
49.2204;0
35.8683;0
27.14865;0
24.26405;0
22.06045;0
23.012;0
24.148;0
24.857;0
25.419;0
27.5743;0
37.6281;0
44.9783;0
34.1962;0
28.78545;0
23.88515;0
21.64645;0
20.5052;0
14.05375;0
15.68345;0
18.0163;0
24.15645;0
29.33275;0
32.2488;0
47.2205;0
52.1014;0
38.1033;0
28.25665;0
24.01705;0
20.66545;0
20.482;0
20.288;0
20.112;0
20.127;0
22.0943;0
32.5391;0
39.9553;0
28.0912;0
23.63545;0
21.38215;0
21.23945;0
23.7252;0
16.67075;0
10.40445;0
10.9293;0
16.44945;0
22.54875;0
28.0648;0
42.8785;0
48.3094;0
36.8913;0
29.01165;0
26.61705;0
24.22545;0
25.413;0
26.768;0
27.541;0
27.63;0
29.2853;0
40.3871;0
48.0943;0
35.9252;0
33.64845;0
27.04715;0
22.18045;0
26.1232;0
22.43475;0
19.28045;0
22.2173;0
27.01745;0
33.17675;0
39.5798;0
54.9275;0
59.9914;0
44.6423;0
37.13365;0
33.58005;0
30.42345;0
30.534;0
32.014;0
33.082;0
32.804;0
35.1433;0
45.1141;0
51.2433;0
39.2392;0
35.58045;0
31.84015;0
31.88545;0
27.0712;0
21.13475;0
17.35245;0
15.9243;0
25.89645;0
34.88875;0
39.0528;0
54.7545;0
59.9414;0
43.9093;0
36.60665;0
33.83105;0
31.99045;0
33.519;0
34.041;0
34.392;0
35.729;0
37.1983;0
46.8561;0
54.2823;0
42.7542;0
36.10845;0
30.32315;0
28.16745;0
23.9472;0
16.79375;0
14.72145;0
15.4103;0
21.99845;0
32.57375;0
39.5568;0
56.1095;0
61.5974;0
49.3573;0
41.66165;0
39.27005;0
37.58345;0
39.545;0
39.986;0
39.493;0
39.278;0
40.9363;0
51.1871;0
57.8743;0
45.5552;0
41.85945;0
36.33315;0
36.48145;0
36.3212;0
28.02975;0
27.55545;0
30.2863;0
38.61445;0
43.99875;0
46.8588;0
61.8775;0
66.0874;0
48.0283;0
40.16865;0
36.82005;0
34.49145;0
35.633;0
35.437;0
34.928;0
34.649;0
36.0713;0
45.9361;0
52.6603;0
40.4112;0
33.72445;0
29.20115;0
24.37345;0
21.4582;0
15.06675;0
12.54645;0
11.4393;0
15.36445;0
28.91275;0
35.9208;0
52.1145;0
57.1664;0
43.9533;0
35.30265;0
31.57405;0
28.70645;0
29.703;0
31.136;0
32.647;0
33.546;0
36.1193;0
46.6981;0
53.7233;0
41.8702;0
35.52745;0
31.40715;0
33.98145;0
37.3652;0
31.25475;0
30.12845;0
28.1963;0
32.97745;0
36.36775;0
38.3398;0
53.0435;0
56.9794;0
42.5313;0
34.07565;0
31.51105;0
29.41345;0
30.934;0
32.853;0
34.206;0
34.794;0
37.0423;0
47.3241;0
54.1083;0
41.8062;0
36.92145;0
32.93915;0
29.88445;0
34.5782;0
31.15775;0
28.66245;0
27.0403;0
29.23045;0
34.97775;0
40.5818;0
55.2375;0
60.4844;0
48.6543;0
39.85865;0
36.86005;0
34.97245;0
36.146;0
35.858;0
35.611;0
36.011;0
37.7913;0
47.7451;0
54.5993;0
41.5662;0
38.18945;0
31.57515;0
27.40745;0
28.9062;0
26.48575;0
26.10645;0
28.1713;0
31.60445;0
36.15175;0
41.0218;0
56.0365;0
61.4984;0
45.9183;0
38.44065;0
35.28905;0
32.85345;0
33.786;0
33.641;0
33.48;0
33.14;0
34.2893;0
43.7911;0
50.0163;0
37.4932;0
33.55445;0
28.75815;0
30.78945;0
33.2752;0
26.75675;0
