Time,borFie.TBorAve
4.159224e+08,284.3962
4.15926e+08,284.399
4.159296e+08,284.39737
4.159332e+08,284.39233
4.159368e+08,284.38596
4.159404e+08,284.37927
4.15944e+08,284.37274
4.159476e+08,284.36688
4.159512e+08,284.36157
4.159548e+08,284.29327
4.159584e+08,284.198
4.15962e+08,284.2313
4.159656e+08,284.2623
4.159692e+08,284.27737
4.159728e+08,284.29227
4.159764e+08,284.3086
4.1598e+08,284.32233
4.159836e+08,284.34097
4.159872e+08,284.35538
4.159908e+08,284.36072
4.159944e+08,284.35638
4.15998e+08,284.35736
4.160016e+08,284.37097
4.160052e+08,284.38162
4.160088e+08,284.3878
4.160124e+08,284.38647
4.16016e+08,284.37762
4.160196e+08,284.3654
4.160232e+08,284.3524
4.160268e+08,284.33972
4.160304e+08,284.3275
4.16034e+08,284.316
4.160376e+08,284.3056
4.160412e+08,284.23294
4.160448e+08,284.13846
4.160484e+08,284.18106
4.16052e+08,284.2222
4.160556e+08,284.25525
4.160592e+08,284.30246
4.160628e+08,284.34842
4.160664e+08,284.38223
4.1607e+08,284.41675
4.160736e+08,284.4389
4.160772e+08,284.43832
4.160808e+08,284.4226
4.160844e+08,284.41428
4.16088e+08,284.4162
4.160916e+08,284.4186
4.160952e+08,284.4201
4.160988e+08,284.41827
4.161024e+08,284.41095
4.16106e+08,284.39993
4.161096e+08,284.38754
4.161132e+08,284.37555
4.161168e+08,284.36395
4.161204e+08,284.3528
4.16124e+08,284.34262
4.161276e+08,284.3345
4.161312e+08,284.33426
4.161348e+08,284.34705
4.161384e+08,284.36542
4.16142e+08,284.38098
4.161456e+08,284.39255
4.161492e+08,284.40137
4.161528e+08,284.40836
4.161564e+08,284.41406
4.1616e+08,284.41882
4.161636e+08,284.42294
4.161672e+08,284.4265
4.161708e+08,284.4297
4.161744e+08,284.43246
4.16178e+08,284.43475
4.161816e+08,284.4362
4.161852e+08,284.43552
4.161888e+08,284.4327
4.161924e+08,284.42947
4.16196e+08,284.42563
4.161996e+08,284.4218
4.162032e+08,284.41937
4.162068e+08,284.41763
4.162104e+08,284.41608
4.16214e+08,284.41476
4.162176e+08,284.41507
4.162212e+08,284.41946
4.162248e+08,284.42664
4.162284e+08,284.433
4.16232e+08,284.43787
4.162356e+08,284.4417
4.162392e+08,284.44482
4.162428e+08,284.44745
4.162464e+08,284.44974
4.1625e+08,284.45172
4.162536e+08,284.45294
4.162572e+08,284.45172
4.162608e+08,284.44656
4.162644e+08,284.43875
4.16268e+08,284.43015
4.162716e+08,284.42102
4.162752e+08,284.41187
4.162788e+08,284.40372
4.162824e+08,284.3964
4.16286e+08,284.38962
4.162896e+08,284.38345
4.162932e+08,284.37778
4.162968e+08,284.37222
4.163004e+08,284.30148
4.16304e+08,284.20175
4.163076e+08,284.23587
4.163112e+08,284.2728
4.163148e+08,284.2926
4.163184e+08,284.312
4.16322e+08,284.33215
4.163256e+08,284.3502
4.163292e+08,284.3757
4.163328e+08,284.39075
4.163364e+08,284.39203
4.1634e+08,284.3835
4.163436e+08,284.38098
4.163472e+08,284.39355
4.163508e+08,284.40323
4.163544e+08,284.40698
4.16358e+08,284.40152
4.163616e+08,284.38983
4.163652e+08,284.37677
4.163688e+08,284.3645
4.163724e+08,284.35382
4.16376e+08,284.34268
4.163796e+08,284.33087
4.163832e+08,284.31976
4.163868e+08,284.24582
4.163904e+08,284.1504
4.16394e+08,284.19443
4.163976e+08,284.24203
4.164012e+08,284.2883
4.164048e+08,284.344
