Koudelevering TOTAAL [kW];Warmtelevering TOTAAL [kW]
0,005459;49,895625
0,005023;42,89839
0,005023;76,505429
0,005023;55,374156
0,005459;45,233167
0,005241;61,542148
0,005241;84,614953
0,005241;243,992359
0,005241;371,695312
0;55,05964
0;88,596023
0;116,20664
0;136,368659
0;157,815906
0;55,455152
0;50,948062
0;54,065742
0;25,271718
0,00535;560,806125
0,005678;511,950375
0;461,493523
0,005678;294,980968
0,005241;122,424695
0,005459;57,118148
0,005459;57,259855
0,005241;37,893253
0,005241;35,966398
0,005241;20,84914
0,005241;9,20235
0,005241;8,41022
0,005023;22,962185
0,005023;161,722812
0,005023;341,885375
0;57,594249
0;92,016152
0;140,900514
0;144,883886
0;181,836343
0;74,06421
0;81,444976
0;90,55775
0;103,036695
0;116,033132
0;44,985273
0;128,807445
0;135,110875
0;83,61496
0;45,058347
0;22,349488
0;15,566477
0;14,647115
0;12,003706
0;6,844477
0;7,161346
0;11,662277
0;29,383931
0;39,652113
0;57,952855
0;67,38507
0;73,265773
0;84,845312
0;93,216328
0;94,587593
0;48,393015
0;93,291085
0;145,970812
0;165,919593
0;127,183859
0;164,143546
0;186,052375
0;137,97289
0;55,986578
0;34,083976
0;12,83307
0;4,20362
0;6,569419
0;7,094499
0;22,967414
0;33,287476
0;58,110304
0;77,028921
0;96,662109
0;115,947421
0;135,691734
0;143,55164
0;151,684906
0;144,885015
0;159,770484
0;179,647203
0;181,766828
0;824,294585
0;712,778462
0;629,708587
0;518,196851
0;242,276393
0,005459;131,773734
0,005241;59,18091
0,005241;36,749242
0,005241;106,847109
0,005023;34,272417
0,005241;15,08625
0,005023;8,721588
0,005023;40,624148
0,004804;236,168359
0,005023;396,71075
0,003931;26,240267
0,003931;24,50939
0,004149;30,318412
0;53,471696
0;91,998846
0;51,322113
0;55,033781
0;59,605054
0;63,495113
0,005023;643,847
0,004804;538,691312
0,004804;464,674968
0,005023;368,902187
0,005241;136,052406
0,005241;89,155179
0,005241;58,948578
0,005023;42,535726
0,005023;122,699921
0,005023;40,044835
0,005023;37,106953
0,004804;39,038917
0,005023;95,853523
0,004804;264,754
0,004804;395,711062
0,003931;23,774521
0,004149;23,974619
0,003931;47,002636
0,003931;59,718171
0,003931;61,820472
0;29,35715
0;32,068019
0;35,294398
0;44,221617
0,004804;632,732125
0,004804;539,855187
0,005023;466,093343
0,005023;363,414218
0,004804;153,817875
0,005241;113,892335
0,005241;74,553617
0,005241;55,594867
0,004804;136,913171
0,004804;61,248625
0,004804;44,406093
0,004804;55,424757
0,004804;96,514007
0,004804;264,142937
0,004586;387,609187
0,004149;16,954494
0,003931;25,74957
0,003931;47,272242
0,004149;61,815496
0,003931;65,529238
0;28,192892
0;40,914222
0;45,942187
0;49,431253
0,004804;619,531562
0,005023;534,371375
0,005132;453,436968
0,005023;351,574781
0,005241;92,135648
0,005023;57,851667
0,005023;30,603476
0,005241;21,145048
0,005023;63,803976
0,005023;21,918724
0,005241;10,414165
0,005241;7,280334
0,004804;9,522046
0,005023;124,745773
0,004804;294,021156
0,004367;7,624413
0,004149;22,350101
0;43,255617
0;70,949374
0;103,579484
0;47,766457
0;48,114656
0;57,479484
0;53,16925
0,005023;595,9575
0,005132;509,843218
0,00535;457,929843
0,005241;347,090468
0,005241;138,078328
0,005241;108,158187
0,005678;70,641609
0,005241;51,668398
0,005241;104,654218
0,005241;35,695671
0,005241;39,677031
0,005241;38,991195
0,005023;67,931156
0,005023;225,57389
0,004804;355,411468
0,004149;18,947042
0;46,167112
0;52,595557
0;75,733439
0;93,548391
0;48,842753
0;53,500441
0;45,531769
0;48,745296
0;60,216652
0;47,534335
0;53,756242
0;60,248855
0;59,551601
0;52,23532
0;41,972113
0;29,244373
0;26,109962
0;20,636023
0;8,093739
0;8,84776
0;22,138884
0;32,409765
0;42,438687
0;49,778257
0;61,236804
0;72,352062
0;72,441101
0;63,181261
0;75,899375
0;72,880367
0;79,863171
0;97,229257
0;76,223812
0;116,311226
0;121,678968
0;127,740968
0;109,291539
0;74,501953
0;73,759015
0;58,060078
0;48,860945
0;45,729554
0;45,911695
0;57,326132
0;35,969433
0;82,47107
0;116,135023
0;116,578023
0;145,921515
0;160,89014
0;178,111515
0;175,934875
0;167,991734
0;207,231484
0;212,691375
0;221,694671
0;850,763558
0;737,493151
0;667,882808
0;544,605091
0;230,415827
0,005678;124,440914
0,004804;56,587746
0,004804;45,809359
0,005132;123,589625
0,004804;58,655851
0,005023;27,554812
0,005132;18,262062
0,004804;51,519625
0,004804;243,576968
0,004804;387,028718
0,004149;15,733622
0;58,624839
0;95,065798
0;121,429144
0;146,93848
0;78,730562
0;79,560664
0;107,026507
0;131,525296
0;749,85341
0;640,140042
0;569,544757
0;442,777155
0,00535;140,173562
0,005241;67,476125
0,005023;44,102917
0,004913;26,354291
0,004804;108,010492
0,004913;54,248761
0,005023;24,058628
28,85988;37,410828
9,715072;96,055625
0,005023;264,591531
0,004586;404,443906
0,004367;20,419923
0,003931;39,487832
0,003931;57,441128
0,003712;68,460445
0,003931;74,179039
0;21,833138
0;26,822023
0;32,622107
0;15,369928
0,004804;602,398875
0,004804;511,550125
0,004804;451,05125
0,004804;325,811687
