KOLOM;RIJ;ID;X;Y;Z;;ID_RVT;NOTA_RVT
9;10;009-010;32,4;76,9;-1;;11157942;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
9;11;009-011;32,4;85;-1;;11157941;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
9;12;009-012;32,4;93,1;-1;;11157940;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
9;13;009-013;32,4;101,2;-1;;11157939;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
9;14;009-014;32,4;109,3;-1;;11157938;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
9;15;009-015;32,4;117,4;-1;;11159698;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
10;1;010-001;36,45;0;-1;;11157965;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
10;2;010-002;36,45;8,1;-1;;11157964;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
10;3;010-003;36,45;16,2;-1;;11157963;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
10;4;010-004;36,45;24,3;-2,5;;11157962;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
10;5;010-005;36,45;32,4;-5;;11157961;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
10;6;010-006;36,45;40,5;-1;;11157960;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
10;7;010-007;36,45;48,6;-1;;11157959;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
10;8;010-008;36,45;56,7;-1;;11157958;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
10;9;010-009;36,45;64,8;-1;;11157957;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
10;10;010-010;36,45;72,9;-1;;11157956;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
10;11;010-011;36,45;81;-1;;11157955;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
10;12;010-012;36,45;89,1;-1;;11157954;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
10;13;010-013;36,45;97,2;-1;;11157953;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
10;14;010-014;36,45;105,3;-1;;11157952;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
10;15;010-015;36,45;113,4;-1;;11159700;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
10;16;010-016;36,45;121,5;-1;;11159699;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
11;1;011-001;40,5;4;-1;;11157979;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
11;2;011-002;40,5;12,1;-1;;11157978;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
11;3;011-003;40,5;20,2;-1;;11157977;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
11;4;011-004;40,5;28,3;-5;;11157976;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
11;5;011-005;40,5;36,4;-5;;11157975;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
11;6;011-006;40,5;44,5;-1;;11157974;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
11;7;011-007;40,5;52,6;-1;;11157973;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
11;8;011-008;40,5;60,7;-1;;11157972;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
11;9;011-009;40,5;68,8;-1;;11157971;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
11;10;011-010;40,5;76,9;-1;;11157970;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
11;11;011-011;40,5;85;-1;;11157969;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
11;12;011-012;40,5;93,1;-1;;11157968;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
11;13;011-013;40,5;101,2;-1;;11157967;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
11;14;011-014;40,5;109,3;-1;;11157966;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
11;15;011-015;40,5;117,4;-1;;11159702;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
12;1;012-001;44,55;0;-1;;11157993;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
12;2;012-002;44,55;8,1;-1;;11157992;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
12;3;012-003;44,55;16,2;-1;;11157991;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
12;4;012-004;44,55;24,3;-2,5;;11157990;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
12;5;012-005;44,55;32,4;-5;;11157989;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
12;6;012-006;44,55;40,5;-1;;11157988;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
12;7;012-007;44,55;48,6;-1;;11157987;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
12;8;012-008;44,55;56,7;-1;;11157986;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
12;9;012-009;44,55;64,8;-1;;11157985;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
12;10;012-010;44,55;72,9;-1;;11157984;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
