Totale koudelevering [kW];Totale warmtelevering [kW];Totale warmtelevering [kW] SWW
1,04344;112,95091;17,41
1,04035;106,26587;94,50
1,03005;126,05984;90,03
1,55674;122,57415;85,57
2,98025;79,24818;85,57
3,21638;36,77131;54,09
4,40317;15,85654;45,16
19,83844;8,008;40,70
13,95423;6,36532;36,23
4,16309;9,29998;40,70
4,73781;11,99225;40,70
4,7218;14,70239;40,70
4,35134;26,84756;40,70
2,01818;34,67584;139,36
1,36639;54,21986;76,64
1,33686;17,81406;40,70
50,28156;67,45169;49,63
48,58614;67,50461;20,98
47,37596;69,43371;4,01
45,92125;73,3674;2,68
44,70408;64,71799;2,68
44,20991;64,62935;2,68
43,95631;64,80673;7,14
44,17776;65,64488;11,60
44,88369;136,13113;17,41
45,83666;129,67523;94,50
47,2768;112,53748;90,03
1,64132;98,88886;85,57
3,39047;49,40726;85,57
3,58612;24,62148;54,09
4,5018;22,34261;45,16
4,53949;13,69095;40,70
2,62476;7,21928;36,23
14,86624;2,30632;40,70
6,44846;2,48221;40,70
4,98645;6,67941;40,70
4,14843;26,3232;40,70
1,87136;35,94792;139,36
1,28625;70,42405;76,64
1,2718;35,28758;40,70
1,38141;33,90442;49,63
1,35972;47,70108;20,98
1,33741;65,45911;4,01
1,32117;65,64574;2,68
1,30701;59,61641;2,68
1,29486;56,86779;2,68
1,28553;49,2404;7,14
1,27734;50,27412;11,60
1,27231;102,61334;17,41
1,26612;94,07352;94,50
1,25992;75,85861;90,03
1,83555;68,46613;85,57
3,85829;58,06016;85,57
4,22984;23,50908;54,09
5,88015;8,90429;45,16
6,36512;6,54896;40,70
4,37271;2,79721;36,23
7,79373;1,09196;40,70
6,77887;5,34891;40,70
6,77442;9,12507;40,70
5,55128;30,05812;40,70
2,35871;45,07435;139,36
1,54428;68,10148;76,64
1,49799;67,42529;40,70
1,46418;76,47422;49,63
1,43328;102,93203;20,98
1,40718;106,61683;4,01
1,38652;101,32113;2,68
1,37442;64,87106;2,68
1,36516;54,46633;2,68
1,34685;101,44007;7,14
1,32987;94,44587;11,60
1,31131;184,64747;17,41
1,29937;142,80855;94,50
1,28426;164,39447;90,03
1,87411;157,97338;85,57
4,05735;111,573;85,57
4,40585;44,37718;54,09
5,92208;75,20144;45,16
12,75015;38,27415;40,70
4,18327;50,19585;36,23
11,45942;26,72701;40,70
10,07854;1,4332;40,70
6,98714;16,96483;40,70
5,84017;61,28732;40,70
2,4045;69,01187;139,36
1,55908;114,79964;76,64
1,50199;112,79263;40,70
1,4607;126,84963;49,63
1,42922;127,46149;20,98
1,40112;145,5838;4,01
1,37708;150,46814;2,68
1,35383;145,24519;2,68
1,33411;138,75859;2,68
1,3146;148,81421;7,14
1,29571;160,21122;11,60
1,27978;227,63499;17,41
1,26408;223,26813;94,50
1,24765;217,89357;90,03
1,82835;196,60266;85,57
3,98609;145,38288;85,57
4,37639;114,42948;54,09
5,93998;75,24063;45,16
15,25952;47,49265;40,70
11,57443;45,02436;36,23
12,14103;24,61188;40,70
7,00598;31,80842;40,70
6,88729;36,49651;40,70
5,77363;76,42663;40,70
2,34153;115,78946;139,36
1,52367;127,98067;76,64
1,47298;120,32545;40,70
1,43902;116,55359;49,63
1,40367;167,65871;20,98
1,37361;168,38832;4,01
1,34414;197,4177;2,68
1,31803;185,70585;2,68
1,29558;185,95426;2,68
1,27564;186,57792;7,14
1,25832;182,66701;11,60
1,24293;215,08273;17,41
1,22565;233,487;94,50
1,21013;220,20846;90,03
1,19506;217,85635;85,57
1,18424;215,41323;85,57
1,20202;200,88028;54,09
1,26323;177,32662;45,16
1,67344;105,98015;40,70
1,49001;102,64235;36,23
1,40425;86,94321;40,70
1,36701;93,20827;40,70
1,31448;151,22663;40,70
1,25511;144,30745;40,70
1,21885;133,21043;139,36
1,20009;132,46955;76,64
1,18314;144,82673;40,70
1,16829;141,53104;49,63
1,15501;143,92514;20,98
1,1411;158,8897;4,01
1,13205;140,97428;2,68
1,12712;95,82564;2,68
1,12413;80,95214;2,68
1,11862;90,64332;7,14
1,1094;107,79469;11,60
1,10455;99,75846;17,41
1,09822;114,70899;94,50
1,09144;109,70566;90,03
1,08247;117,6414;85,57
1,07758;113,88541;85,57
1,10213;113,43801;54,09
4,98717;91,80846;45,16
14,22156;80,96534;40,70
17,95174;43,11931;36,23
12,7403;23,52847;40,70
5,8601;22,86187;40,70
1,34021;34,85948;40,70
1,26936;70,97771;40,70
1,21806;51,49461;139,36
1,19099;79,04662;76,64
1,16697;103,42219;40,70
1,14865;91,29476;49,63
1,13289;105,28393;20,98
1,11854;114,99221;4,01
1,10876;102,95621;2,68
1,09946;89,62034;2,68
1,0831;130,95925;2,68
1,06711;129,28496;7,14
1,05289;138,29648;11,60
1,03951;223,98578;17,41
1,03314;178,44672;94,50
1,02131;204,93168;90,03
1,54875;181,53365;85,57
3,0274;151,80538;85,57
3,3143;124,3911;54,09
4,31829;109,38343;45,16
4,70753;86,73088;40,70
2,66455;96,84139;36,23
4,03061;84,36597;40,70
4,95832;67,15545;40,70
5,0274;75,80376;40,70
4,19205;98,40999;40,70
1,87478;131,59668;139,36
1,23442;160,20983;76,64
1,20672;80,70465;40,70
1,18407;109,82197;49,63
1,16505;122,25434;20,98
1,14757;132,27028;4,01
1,13232;137,17667;2,68
1,11677;131,12921;2,68
1,09882;147,99245;2,68
1,08191;156,42622;7,14
1,0667;156,55765;11,60
1,05328;235,10239;17,41
1,04081;226,73985;94,50
1,03186;190,14766;90,03
1,55684;212,11528;85,57
3,12023;160,35426;85,57
3,44566;131,36545;54,09
4,65518;99,60905;45,16
4,85364;105,91692;40,70
2,84161;107,03569;36,23
4,3551;62,91861;40,70
5,42707;73,51154;40,70
5,44096;85,91545;40,70
4,41791;117,98261;40,70
1,9152;159,72285;139,36
1,24931;192,81181;76,64
1,21454;127,77579;40,70
1,18703;155,30978;49,63
1,16263;169,82937;20,98
1,1403;181,59711;4,01
1,11991;191,8998;2,68
1,10199;170,65467;2,68
1,08794;155,8786;2,68
1,07562;151,13452;7,14
1,06184;163,17386;11,60
1,04975;228,76675;17,41
1,0397;210,25095;94,50
1,02635;218,12721;90,03
1,55383;183,29541;85,57
3,15805;93,37135;85,57
3,47662;56,53723;54,09
4,85146;35,25407;45,16
5,60485;21,25988;40,70
3,17195;15,19324;36,23
4,61769;31,01208;40,70
5,44287;13,9953;40,70
5,48251;24,94163;40,70
4,55752;53,38633;40,70
1,98782;99,54836;139,36
1,30858;120,59628;76,64
1,26304;134,23094;40,70
1,2335;121,10541;49,63
1,21108;124,72432;20,98
1,18923;150,10888;4,01
1,18106;81,17805;2,68
1,16382;131,85494;2,68
1,14385;144,91123;2,68
1,12657;144,46228;7,14
1,1111;140,74668;11,60
1,09849;209,7483;17,41
1,08595;200,26976;94,50
1,07444;179,60006;90,03
1,61284;153,05518;85,57
3,26418;103,3105;85,57
3,55445;92,62643;54,09
4,52256;71,22536;45,16
4,80864;48,45886;40,70
2,8094;65,0479;36,23
4,26601;51,76144;40,70
5,32892;45,6647;40,70
5,44893;48,48415;40,70
4,46333;68,2757;40,70
1,95137;91,6809;139,36
1,28312;121,30248;76,64
1,24866;88,50826;40,70
1,22401;92,26772;49,63
1,20473;94,32564;20,98
1,18754;100,56625;4,01
1,17229;98,16712;2,68
1,15818;100,08891;2,68
1,14564;93,97773;2,68
1,13257;102,72423;7,14
1,11989;104,11761;11,60
1,10906;171,8498;17,41
1,09924;153,94706;94,50
1,08948;138,35959;90,03
1,63672;114,05441;85,57
3,29392;76,00232;85,57
3,62702;69,4416;54,09
4,51024;56,61038;45,16
4,74897;47,08858;40,70
2,70795;46,20593;36,23
4,08831;20,22861;40,70
4,84144;41,79959;40,70
4,88983;40,74917;40,70
4,00007;57,99968;40,70
1,72521;79,48463;139,36
1,28495;117,5077;76,64
1,24752;96,433;40,70
1,22007;101,35656;49,63
1,19958;101,73312;20,98
1,18204;107,42614;4,01
1,16582;115,01692;2,68
1,15145;104,49772;2,68
1,13744;109,06715;2,68
1,12427;108,5658;7,14
1,11149;111,78033;11,60
1,09796;131,30633;17,41
1,08411;137,41291;94,50
1,07097;136,58131;90,03
1,05917;130,83335;85,57
1,05296;125,5098;85,57
1,07644;101,11899;54,09
1,12457;84,75885;45,16
1,1032;78,27763;40,70
1,00793;71,21971;36,23
0,92258;68,66663;40,70
0,84637;75,96001;40,70
0,73517;78,48309;40,70
0,67839;85,95883;40,70
0,62684;88,83109;139,36
0,63085;89,31155;76,64
0,61736;90,0903;40,70
0,56206;90,01771;49,63
0,54998;96,1247;20,98
0,51779;94,94283;4,01
0,50763;102,43994;2,68
0,49713;88,80443;2,68
0,48783;89,36391;2,68
0,45711;89,35844;7,14
0,49064;95,5027;11,60
0,5042;113,27744;17,41
0,49783;98,41216;94,50
0,46851;105,25408;90,03
0,43876;100,78209;85,57
0,41578;70,5116;85,57
0,43212;63,66756;54,09
0,3757;34,73005;45,16
0,49344;24,65746;40,70
0,40223;38,4575;36,23
0,34261;26,40492;40,70
0,2682;19,89624;40,70
0,18347;20,91196;40,70
0,14285;28,90098;40,70
0,12194;34,065;139,36
0,10135;34,77484;76,64
0,11687;35,16475;40,70
0,09031;35,79515;49,63
0,06408;37,75765;20,98
0,12476;41,56539;4,01
0,17575;48,7633;2,68
0,26736;33,41315;2,68
0,37306;35,23678;2,68
0,45731;49,42207;7,14
0,53938;62,76468;11,60
0,58338;116,52852;17,41
0,64879;107,3615;94,50
0,69246;89,04645;90,03
1,23215;68,12277;85,57
2,40686;36,66263;85,57
2,56232;28,3066;54,09
3,38244;28,45933;45,16
3,7266;40,66004;40,70
2,38635;57,2637;36,23
3,32355;49,27293;40,70
4,13034;48,08649;40,70
4,19269;51,22761;40,70
3,47871;73,16849;40,70
1,69701;106,58611;139,36
1,1116;134,07762;76,64
1,07869;95,09226;40,70
1,05584;99,86373;49,63
1,03823;111,58261;20,98
1,0276;85,40808;4,01
1,01431;121,57334;2,68
0,99632;133,5631;2,68
0,98695;105,90598;2,68
0,9744;126,34341;7,14
0,96243;125,00208;11,60
0,95647;172,13544;17,41
0,94518;201,98033;94,50
0,92958;194,89936;90,03
1,45984;160,7153;85,57
2,79147;102,45101;85,57
3,00157;50,04573;54,09
10,46711;34,67732;45,16
6,20814;10,7444;40,70
2,79172;43,04706;36,23
4,01018;31,98383;40,70
5,09225;17,55996;40,70
5,23465;14,20663;40,70
4,14482;40,77034;40,70
1,88785;78,02935;139,36
1,26296;111,98071;76,64
1,22362;71,00158;40,70
1,19723;73,76313;49,63
1,1744;87,60254;20,98
1,15672;84,96509;4,01
1,14787;53,97329;2,68
1,13864;50,27263;2,68
1,12962;51,97437;2,68
1,11805;63,66982;7,14
1,10319;85,47751;11,60
1,08748;164,11222;17,41
1,07245;161,2946;94,50
1,05905;141,34904;90,03
1,58662;143,14033;85,57
3,08914;106,14164;85,57
3,34739;92,17149;54,09
4,27344;103,8296;45,16
4,5279;91,76511;40,70
2,67578;109,9474;36,23
4,20917;34,40565;40,70
5,1767;45,85656;40,70
5,11156;58,6719;40,70
4,27777;103,34069;40,70
1,89532;140,96046;139,36
1,25193;149,81146;76,64
1,21322;145,7625;40,70
1,18207;170,24205;49,63
1,15699;173,94318;20,98
1,1336;188,3034;4,01
1,1142;187,93964;2,68
1,09828;157,90447;2,68
1,08534;147,58491;2,68
1,07091;161,94399;7,14
1,05611;166,84312;11,60
1,04312;233,9505;17,41
1,027;252,55533;94,50
1,01262;229,34928;90,03
1,53823;211,47049;85,57
3,03857;166,84153;85,57
3,37096;135,78482;54,09
7,15572;85,34479;45,16
13,91811;60,14397;40,70
13,48311;46,92482;36,23
21,07603;25,11176;40,70
6,14492;37,81773;40,70
5,86282;60,62552;40,70
4,7193;84,76662;40,70
2,02343;131,62166;139,36
1,3473;158,89094;76,64
1,29724;159,64759;40,70
